"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","USER CENTER scenario test cases","13","0","","0"
"0","","0","CLUB scenario test cases","14","0","","0"
"0","","0","QUEST scenario test cases","4","0","","0"
"0","","0","STORE scenario test cases","10","0","","0"
"0","","0","STAKING scenario test cases","5","0","","0"
"0","","0","WORLDVIEW scenario test cases","3","0","","0"
"0","","0","NFT scenario test cases","4","0","","0"
"0","","0","user_box_list interface test cases","3","0","","0"
